Date,Close,Percentage Change
11-June-2019,4996.85,7.030786465
12-June-2019,4968.54,6.424396126
13-June-2019,4967.22,6.396122186
14-June-2019,4927.38,5.542763264
17-June-2019,4864.11,4.187541902
18-June-2019,4873.12,4.380532964
19-June-2019,4864.66,4.199322711
20-June-2019,4926.44,5.522628791
21-June-2019,4889.3,4.727102928
24-June-2019,4880.59,4.540537762
25-June-2019,4917.03,5.321069869
26-June-2019,4942.11,5.858274733
27-June-2019,4946.81,5.958947096
28-June-2019,4926.59,5.525841739
1-July-2019,4956.03,6.156436284
2-July-2019,4973.54,6.531494385
3-July-2019,4979.7,6.663439439
4-July-2019,4989.24,6.867782916
5-July-2019,4929.61,5.590529087
8-July-2019,4823.29,3.313191721
9-July-2019,4825.98,3.370810584
10-July-2019,4797.93,2.769989354
11-July-2019,4832.86,3.518177787
12-July-2019,4826.62,3.384519161
15-July-2019,4837.18,3.610710683
16-July-2019,4871.48,4.345404735
17-July-2019,4878.57,4.497270065
18-July-2019,4832.92,3.519462966
19-July-2019,4757.73,1.908919357
22-July-2019,4729.5,1.30424259
23-July-2019,4719.59,1.091973842
24-July-2019,4684.12,0.3322187975
25-July-2019,4685.8,0.3682038123
26-July-2019,4703.65,0.7505445946
29-July-2019,4662.25,-0.1362289846
30-July-2019,4613.74,-1.175296287
31-July-2019,4634.74,-0.7254836022
1-August-2019,4578.93,-1.920914362
2-August-2019,4584.67,-1.797965561
5-August-2019,4531.04,-2.946701481
6-August-2019,4572.12,-2.06678219
7-August-2019,4537.78,-2.802333028
8-August-2019,4605.56,-1.350509038
9-August-2019,4638.86,-0.6372346373
13-August-2019,4556.47,-2.401999739
14-August-2019,4599.91,-1.47153007
16-August-2019,4607.63,-1.306170359
19-August-2019,4611.79,-1.217064608
20-August-2019,4593.4,-1.610972002
21-August-2019,4549.97,-2.541227475
22-August-2019,4477.11,-4.101863295
23-August-2019,4513.99,-3.311906542
26-August-2019,4603.44,-1.3959187
27-August-2019,4630.67,-0.8126615845
28-August-2019,4604.05,-1.382852712
29-August-2019,4572.63,-2.055858168
30-August-2019,4609.05,-1.275754454
3-September-2019,4516.95,-3.248504373
4-September-2019,4533.11,-2.902362802
5-September-2019,4537.68,-2.804474994
6-September-2019,4574.1,-2.02437128
9-September-2019,4600.23,-1.464675781
11-September-2019,4618.68,-1.069483208
12-September-2019,4600.7,-1.454608545
13-September-2019,4637.42,-0.6680789357
16-September-2019,4612.15,-1.209353533
17-September-2019,4534.66,-2.869162342
18-September-2019,4547.23,-2.59991732
19-September-2019,4490.26,-3.820194876
20-September-2019,4735.63,1.435545055
23-September-2019,4864.61,4.198251728
24-September-2019,4856.6,4.026680318
25-September-2019,4791.39,2.629904832
26-September-2019,4845.87,3.796847456
27-September-2019,4820.99,3.263926522
30-September-2019,4794.25,2.691165036
1-October-2019,4742.51,1.582912259
3-October-2019,4723.4,1.173582715
4-October-2019,4666.69,-0.04112573121
7-October-2019,4643.48,-0.5382758466
9-October-2019,4717.24,1.041637661
10-October-2019,4682,0.2868091359
11-October-2019,4710.5,0.8972692086
14-October-2019,4726.01,1.229488006
15-October-2019,4761.87,1.997596715
16-October-2019,4778.18,2.346951234
17-October-2019,4836.95,3.605784163
18-October-2019,4878.98,4.506052123
22-October-2019,4856.98,4.034819786
23-October-2019,4863.92,4.183472168
24-October-2019,4851.9,3.926007955
25-October-2019,4849.33,3.87095945
27-October-2019,4872.75,4.372607693
29-October-2019,4937.46,5.758673352
30-October-2019,4962.52,6.295449823
31-October-2019,4983.57,6.746333491
1-November-2019,4989.02,6.863070593
4-November-2019,5003.11,7.164873485
5-November-2019,4987.05,6.820873879
6-November-2019,5004.12,7.186507333
7-November-2019,5026.99,7.676374767
8-November-2019,4981.74,6.707135529
11-November-2019,4988.14,6.844221299
13-November-2019,4954.79,6.129875916
14-November-2019,4964.6,6.340002699
15-November-2019,4973.72,6.535349922
18-November-2019,4974.39,6.549701089
19-November-2019,4991.22,6.910193826
20-November-2019,5014.07,7.399632867
21-November-2019,4997.95,7.054348082
22-November-2019,4978.81,6.644375949
25-November-2019,5045.28,8.068140196
26-November-2019,5024.96,7.632892874
27-November-2019,5053.83,8.251278218
28-November-2019,5081.36,8.840961228
29-November-2019,5046.49,8.094057974
2-December-2019,5041.07,7.977963462
3-December-2019,5012.88,7.374143482
4-December-2019,5034.24,7.831667241
5-December-2019,5019.34,7.512514431
6-December-2019,4974.05,6.542418407
9-December-2019,4978.18,6.630881569
10-December-2019,4939.24,5.796800332
11-December-2019,4962.34,6.291594286
12-December-2019,4989.59,6.875279794
13-December-2019,5039.04,7.934481569
16-December-2019,5022.93,7.589410981
17-December-2019,5065.78,8.507243055
18-December-2019,5083.18,8.879944994
19-December-2019,5095.66,9.147262247
20-December-2019,5105.12,9.349892152
23-December-2019,5101.4,9.270211048
24-December-2019,5084.91,8.917000992
26-December-2019,5056.99,8.318964317
27-December-2019,5103.99,9.325687946
30-December-2019,5108.69,9.426360309
31-December-2019,5078.44,8.778415845
